Reporting Period	Peer Group Description	Peer Group	UBPSE885	UBPSFB80	UBPSFB82	UBPSE880	UBPSE892	UBPSE886	UBPSE658	UBPSE883	UBPSE889	UBPSE891	UBPSFB78	UBPSD647	UBPSE894	UBPSE884	UBPSFB81	UBPSE392	UBPSE895	UBPSE881	UBPSD490	UBPSE893	UBPSD649	UBPSE882	UBPSFB83	UBPSD646	UBPSE663	UBPSD650	UBPSE887	UBPSE657	UBPSE888	UBPSE890	UBPSE632	UBPSFB79	UBPSD648	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	3.8636	0.0000	0.0000	5.8465	37.8683	0.0000	11.6405	47.7116	0.0000	0.0000	11.2519	190.6142	0.0000	255.8130	0.0000	137.1367	0.0000	36.3556	17.1218	0.0000	238.3259	184.8483	0.0000	5.4964	0.3886	76.5072	9.1554	13.3037	0.0077	4.7992	3.8180	0.0000	61.1909	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	0.6362	0.0000	0.0000	2.8994	106.2948	0.0000	11.8147	13.3453	29.6518	0.0000	11.8041	73.1296	0.0000	101.1891	0.0000	42.1021	0.0000	8.4950	22.5324	0.0000	86.4750	55.4475	0.0000	5.8816	0.0000	22.5727	37.8324	19.9843	30.0115	107.1308	2.5481	0.0106	19.0891	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	0.0000	0.0000	0.0000	7.1920	57.8893	0.0000	24.8089	69.1477	0.0000	0.0000	19.3053	211.7713	0.0000	312.9201	0.0000	135.3192	0.0000	12.2361	64.2158	0.0000	280.9190	204.4670	0.0000	15.6899	4.4242	68.6371	35.8375	42.7357	2.6342	0.0000	21.4800	1.0793	51.7422	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	0.0000	0.0000	0.0000	4.9440	103.7824	1.9559	20.3365	33.9430	5.0759	0.0000	20.3365	164.5726	0.0000	223.7963	0.0000	84.5408	0.0000	21.3504	58.6814	71.1864	198.5157	118.4838	0.0000	14.0727	0.0000	47.6072	10.6210	58.6814	5.0759	0.5683	0.0000	0.0000	39.4671	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	0.4477	1.2380	0.1311	36.3942	1.0665	25.1749	159.6354	61.8929	0.1479	0.2459	139.3175	125.0697	0.0478	419.2601	7.3223	64.9170	0.3698	15.1460	29.4395	0.2973	195.7349	137.8177	0.9137	5.0067	11.8978	33.4909	65.8922	17.7889	21.0042	2.6442	10.3261	3.7211	21.2871	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	0.0017	0.0000	0.0000	0.0015	0.4321	0.2982	0.3278	0.0001	489.3984	4.6542	0.0743	0.9575	0.0000	1.1796	0.0170	0.0296	0.1074	0.0051	0.8152	0.0041	0.9576	0.0297	0.0045	0.2555	0.0007	0.2871	16.5861	0.0000	516.3258	0.0390	0.8152	0.2527	0.2871	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	0.0033	0.0000	0.0000	0.0000	0.4758	0.0943	0.8778	0.0000	512.8408	0.0000	0.1806	0.0804	0.0000	0.9574	0.0000	0.0654	0.0008	0.0141	0.0000	0.0000	0.0804	0.0654	0.0000	0.0000	0.0021	0.0135	7.4053	0.0000	548.2304	0.0191	0.0000	0.6949	0.0135	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	433.0849	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.9382	0.0000	433.0849	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	0.0000	0.0000	0.0000	0.0175	0.9960	2.9029	0.0939	0.0000	304.2063	0.0000	0.0939	9.5933	0.0000	9.1432	0.1871	0.0638	0.5615	0.0000	8.9679	0.0457	9.5933	0.0638	0.0457	2.8110	0.0000	3.0070	0.9597	0.0000	304.7678	0.2103	8.9679	0.0000	3.0070	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	0.0015	0.0000	0.0000	0.0000	0.4635	0.0000	0.0004	0.0004	528.3611	0.0000	0.0004	0.1543	0.0000	0.0008	0.0000	0.0000	0.1543	0.0000	0.0000	0.0000	0.1548	0.0004	0.0000	0.0000	0.0000	0.0244	3.6661	0.0000	566.8815	0.0356	0.0000	0.0000	0.0243	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Virginia	VACRC	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	481.2835	51.1968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2640	0.0000	481.2835	0.0000	0.0000	0.0000	0.0000	
3/31/2018 11:59:59 PM	All insured commercial banks	COM	0.4890	1.3639	0.1198	42.3692	1.1922	30.0429	143.7999	66.6605	0.1652	0.2711	124.3738	129.3037	0.0527	414.4290	8.0545	68.2895	0.4187	14.6576	30.9326	0.3571	204.7011	146.3458	1.1068	5.1740	11.2758	34.5725	72.7561	18.9448	22.4704	3.0328	10.6735	3.6127	21.6768	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alabama	ALCOM	0.1210	0.0000	0.0000	21.9554	2.0558	6.3634	133.3369	67.5525	0.3519	0.0000	112.5419	108.1401	0.0000	347.8495	9.4255	54.8473	0.5921	9.5316	39.2288	0.0019	179.9965	126.8825	0.1095	7.9400	14.4880	36.1260	73.6371	25.5033	29.6317	7.7815	12.0644	2.7602	21.6471	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alaska	AKCOM	0.0000	0.0000	0.0000	0.9086	1.0310	11.4171	61.2894	111.8307	0.1101	0.0000	41.2480	161.7513	0.0000	334.1005	3.0418	107.7715	1.6795	15.2312	37.0689	0.0000	273.5820	219.6022	0.0000	8.6356	12.9302	58.9207	100.8096	27.1558	22.8487	4.7297	9.9130	7.1111	34.5627	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arizona	AZCOM	0.7707	0.0000	0.0000	4.3704	4.7122	3.5388	140.7161	160.8252	0.0658	0.0000	120.5686	178.2590	0.0000	482.9375	2.5293	120.9643	1.2333	14.9911	41.0702	0.8464	339.0843	281.7895	2.5814	6.7132	17.5985	59.5857	94.4475	25.8287	6.4184	8.1177	15.2414	2.5489	31.6232	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arkansas	ARCOM	0.2079	0.0000	0.0000	54.2665	0.8945	22.4983	149.6450	61.2225	0.5561	0.0000	138.7421	124.6622	0.0000	415.0176	10.3696	60.5764	0.1372	13.5602	43.5221	0.0726	192.4338	130.5606	0.7056	7.2870	4.2069	33.5903	70.7517	26.3271	29.6833	1.6858	14.1359	4.4656	21.7326	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in California	CACOM	0.0217	0.4445	0.0256	8.1956	2.4377	2.9200	76.3371	92.6426	0.0170	1.4091	57.7357	244.8440	0.0000	460.3006	2.2406	159.2944	2.5543	42.6114	26.3907	1.1272	362.8991	270.6011	2.9650	4.3928	10.1056	63.0070	75.5237	17.0664	7.1534	0.7528	8.1650	1.6333	44.3993	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Colorado	COCOM	0.0000	0.0000	0.0000	41.2080	1.1470	33.5010	132.9231	87.3596	0.2483	0.0000	110.1376	156.9821	0.0000	438.9876	3.1374	84.4941	0.6329	12.3529	44.1543	0.8506	249.9664	180.3971	4.1510	7.8222	15.5968	43.0589	63.7474	22.6486	12.7056	2.8756	20.3386	3.8783	26.6331	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Connecticut	CTCOM	0.0000	0.0000	0.0000	0.6946	4.7162	0.2404	312.6084	82.1613	0.0530	0.0000	268.3426	200.3396	0.0000	593.8845	3.7970	130.9736	1.9196	36.0442	31.4021	2.0811	282.5010	213.1350	5.8966	3.8955	36.5128	37.0546	109.2584	21.5388	43.6118	4.7965	9.8632	7.7530	26.7666	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Delaware	DECOM	6.7419	0.0235	0.0000	6.4588	9.4854	0.6634	97.2038	61.5033	24.0283	0.6998	75.3983	104.9693	0.2123	267.7343	8.7278	56.5122	2.4058	14.4479	31.6033	10.6567	166.4727	118.0156	19.9814	6.3524	18.1458	30.3542	54.5527	22.4891	53.3083	6.8608	9.1141	3.6597	20.6822	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in District of Columbia	DCCOM	0.0000	0.0000	0.0000	0.0000	9.6640	0.0000	197.6327	99.6978	0.6531	0.0000	182.5961	217.9598	0.0000	508.5888	0.2636	104.2887	6.7016	62.8681	44.1012	0.0000	317.6577	203.9866	0.0000	7.6720	12.2786	57.0549	59.8139	26.9358	1.2542	0.0000	17.1653	2.7579	40.8546	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Florida	FLCOM	0.0205	15.7986	0.0000	5.2957	2.0025	0.7907	203.6784	102.5704	0.1295	2.4021	176.2738	208.6798	0.0000	536.5678	1.2367	137.5682	0.0905	22.4010	41.3505	0.4753	313.9550	243.9536	0.6384	6.6709	20.3195	50.5880	64.8443	27.6409	11.6807	1.4298	11.8403	2.4007	33.1538	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Georgia	GACOM	0.0714	0.0000	0.0000	34.9541	0.9106	8.6120	156.2177	99.4699	0.2470	0.0000	136.3706	159.1336	0.0000	462.4468	8.8210	86.3764	0.2491	11.4801	53.3241	0.0000	261.6025	188.5716	0.8256	8.8370	12.1370	43.3901	61.8287	32.7320	27.0834	2.2214	18.3352	3.3840	26.6557	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Guam	GUCOM	0.0000	1.9950	0.0000	0.1993	13.4273	0.0267	84.6147	53.3868	6.3816	30.6233	81.4942	179.0389	0.4494	288.5675	9.5149	91.8366	29.6698	36.7219	20.8105	0.0000	232.4258	145.2234	0.0000	4.9836	2.0515	45.3412	110.6376	18.8101	86.5843	7.8479	2.0004	1.0688	37.0319	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Hawaii	HICOM	0.0000	16.0685	1.1577	1.0216	7.5932	0.0114	338.3209	38.1551	2.3570	13.1994	271.0229	157.7943	0.0000	541.0674	20.2828	101.8625	1.1111	33.3266	21.4940	4.0277	195.9495	140.0176	4.4812	3.3267	62.1569	29.6218	80.3194	17.9711	34.9987	0.0987	3.5229	5.1410	24.0052	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Idaho	IDCOM	0.0000	0.0000	0.0000	30.8122	0.8718	36.1440	92.5279	110.7720	0.7186	0.0000	52.6133	167.6537	0.0000	398.1402	4.4145	90.0289	3.6257	16.0512	57.9477	0.4682	278.4257	200.8010	0.0000	10.1140	34.3442	46.5026	129.5917	41.2222	15.6005	3.2106	16.7255	5.5703	28.1269	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Illinois	ILCOM	0.0000	0.0006	0.1038	55.7773	0.9126	35.9920	132.6295	54.8497	0.0646	0.2190	112.8061	109.7861	0.0000	382.2889	9.2925	57.2459	0.2698	20.3606	17.8348	0.3248	173.2450	121.6366	2.2570	3.0044	11.4218	29.5170	76.5600	10.9040	26.5460	3.0148	6.1618	3.6525	18.6453	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Indiana	INCOM	0.0062	0.0000	0.0000	56.2042	0.9913	24.7095	197.4162	68.0314	0.4339	0.0000	162.1263	103.9996	0.0000	449.6355	14.6641	55.9250	0.3169	15.4699	27.3022	1.3009	177.1943	129.2926	2.8886	4.4395	26.4848	28.6191	69.1100	15.6378	25.8497	6.0389	9.0784	4.8211	16.7299	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Iowa	IACOM	0.0395	0.0000	0.0000	113.5617	0.7033	105.0588	110.7757	35.8239	0.1930	0.0000	99.1178	68.6082	0.0000	349.3168	8.8706	34.2232	0.2016	8.9747	15.4214	0.0420	109.8113	77.1001	0.4393	2.5835	5.6833	18.3185	71.2120	8.4795	16.8278	4.8039	6.3593	3.3571	11.4333	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kansas	KSCOM	0.0503	0.0000	0.0000	79.9885	0.5716	74.6837	117.8671	36.6511	0.0407	0.0000	110.7594	74.3746	0.0000	331.9755	12.0128	39.7394	0.1947	8.1657	17.3139	3.0053	115.8700	83.4804	1.9143	2.9609	3.5124	20.7590	71.0871	8.0028	22.7208	0.9284	7.9446	1.6604	13.3405	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kentucky	KYCOM	0.0078	0.0000	0.0000	42.1475	1.1941	7.5704	209.1638	61.4940	0.2541	0.0000	185.6980	126.6945	0.0000	454.1106	10.6133	70.9288	0.4527	15.0032	34.1882	0.0845	190.8397	135.1477	0.6043	5.9140	15.8029	33.8127	48.8589	19.4203	29.7680	3.0158	11.8962	4.6083	22.4911	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Louisiana	LACOM	0.1391	0.0000	0.0000	18.2910	1.0149	11.7354	174.3877	85.4265	0.2643	0.0000	160.1173	146.7844	0.0000	438.1348	5.7774	69.9573	1.4044	10.6896	57.4313	0.0537	234.7086	157.7015	1.9653	9.8043	7.7629	40.7111	77.3055	37.5351	25.3967	0.9144	18.4174	2.9960	25.1382	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Maine	MECOM	0.0000	0.0000	0.0000	3.1866	18.5807	4.6400	281.4772	92.1291	0.0413	0.0000	234.2349	171.8695	0.0000	546.5735	2.4479	123.8446	2.0890	28.5512	17.3845	0.0040	263.9987	215.9738	0.0056	2.6763	43.7288	40.1444	76.4127	11.5512	8.7875	8.4549	5.8333	3.5133	24.9704	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Maryland	MDCOM	0.0000	0.0000	0.0000	12.9390	1.0706	1.2367	233.1780	126.9029	0.1445	0.0000	195.1172	234.9758	0.0000	617.4921	1.3320	150.7820	0.7648	20.0959	59.6745	0.5016	363.8346	280.0705	0.8639	8.0617	31.1860	50.8011	71.9494	35.4637	11.3794	4.1819	21.8803	5.2893	32.7517	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Massachusetts	MACOM	0.0000	0.0000	0.0000	0.3242	0.6591	0.0364	339.7983	60.9270	0.0015	0.2335	292.0416	185.1878	0.1380	615.3184	1.1867	97.1093	0.0277	42.1106	34.2730	0.0141	252.6152	160.7631	0.1226	4.9035	36.9457	35.2137	47.1426	16.0849	8.9687	3.5438	17.1320	5.5712	25.8123	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Michigan	MICOM	0.1058	0.0000	0.0000	13.6322	1.5776	4.8055	183.9491	107.4532	0.0829	0.0000	156.2147	138.2546	0.0000	479.0209	9.0007	93.4174	0.4910	13.3922	23.8272	0.5055	256.8828	210.9194	0.4875	3.8916	19.1591	39.8868	88.3179	14.5691	23.8831	2.7957	8.6113	5.1362	21.3014	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Micronesia	FMCOM	0.0000	0.0000	0.0000	0.0000	0.3277	0.0000	10.0226	26.5548	0.0000	0.0000	7.6231	58.1820	0.0000	77.1095	10.2075	6.3960	17.6500	6.6691	27.4668	0.0000	84.7369	32.9509	0.0000	14.2841	2.0423	44.0675	47.1087	25.3025	67.7424	0.0000	2.1642	0.3572	30.2576	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Minnesota	MNCOM	0.0778	0.0000	0.0000	68.1380	0.6466	59.0454	129.8390	68.5889	0.0555	0.0000	103.2374	99.1201	0.0000	399.7231	9.5666	51.4275	0.1086	12.3763	23.4813	0.8557	175.4732	129.5462	6.6131	3.7351	14.5876	28.5465	85.2499	13.1084	23.3761	3.3860	9.3043	7.0549	15.9061	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Mississippi	MSCOM	0.0571	0.0000	0.0011	38.1659	1.7302	12.3518	162.9664	80.1399	0.5036	0.0000	144.1842	130.7743	0.0000	414.8607	14.4771	66.1126	0.2638	10.3813	49.7543	0.2498	210.5162	146.4383	1.9650	8.7131	11.4087	37.3685	69.4296	32.2338	36.2003	2.2623	14.5030	4.5606	23.0069	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Missouri	MOCOM	0.6416	0.0000	0.0246	70.4767	1.7702	29.1573	173.9164	64.6729	0.1575	0.0000	159.1174	125.2729	0.0000	464.3741	11.6777	65.4783	0.4226	13.1716	35.6367	0.6389	198.5499	140.7159	1.3663	5.5782	8.5132	32.1148	69.4705	18.3559	23.7164	1.1489	14.0921	3.6766	20.0746	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Montana	MTCOM	0.0026	0.0000	0.0000	64.7197	0.9623	56.3173	110.9488	79.6740	0.6679	0.0000	92.5037	108.0432	0.0000	379.0906	10.5830	51.6446	0.4214	11.3991	38.5714	0.0319	195.6405	137.8725	0.2811	6.4916	9.0271	33.6404	78.1257	25.0452	26.0233	2.4116	11.9255	5.0086	18.6323	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Nebraska	NECOM	0.0136	0.0000	0.0925	122.4967	1.4375	149.8285	66.9734	27.2210	0.0254	0.0000	58.1124	65.5767	0.0000	308.1037	9.3142	36.2393	0.2043	6.1270	17.9395	0.0564	99.7896	68.3535	3.6563	2.8475	4.0897	16.2112	77.0596	10.3834	19.7412	2.0130	6.1635	2.4182	10.5035	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Nevada	NVCOM	0.0000	0.0000	0.0000	1.1078	0.1581	1.4048	85.4161	83.6975	1.3388	0.0000	79.8162	143.5152	0.0000	313.4849	2.5927	106.7325	0.2519	12.6596	23.8712	0.0000	227.2128	190.4300	0.0000	4.9859	5.0030	48.3125	53.8670	17.7820	14.8670	0.0421	6.0891	0.5968	30.4364	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New Hampshire	NHCOM	0.0000	0.0000	0.0000	1.3141	1.2409	0.1886	248.5515	106.4868	0.0000	0.0000	227.4447	263.9650	0.0000	615.5303	2.9186	155.5660	4.7871	52.5349	51.0768	0.0000	370.4518	262.0528	0.0000	7.8062	17.4273	55.2173	72.8259	30.0701	5.0639	13.0761	21.0066	3.6793	40.6283	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New Jersey	NJCOM	0.0842	0.0000	0.0000	0.7532	2.3324	0.0216	157.9473	145.7908	0.0529	0.0000	127.4237	280.1191	0.0000	613.8886	0.2499	171.6293	0.6423	47.5299	41.9377	0.8597	438.2235	325.1835	1.8552	6.1572	22.0915	62.0524	57.0815	20.9307	10.5187	1.4180	19.0666	6.6368	40.0180	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New Mexico	NMCOM	0.0000	0.0000	0.0000	19.9809	0.2424	20.4317	84.2096	65.5066	0.2761	0.0000	77.5149	147.2058	0.0000	328.1858	3.9798	90.3073	0.5914	12.4174	37.6149	0.3890	216.7188	161.5135	0.0000	8.3916	3.9279	46.8615	76.4638	25.0381	13.2313	0.7552	11.2105	1.5982	31.9207	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New York	NYCOM	0.2415	0.0503	0.0000	1.8035	4.1031	0.5741	156.9068	61.4053	0.1498	0.0000	133.3017	186.9842	0.2645	430.9175	8.9997	101.8722	1.7189	49.5362	19.4882	0.1976	255.1011	165.6201	0.6063	3.3323	14.6160	45.8687	71.9731	15.1012	22.9353	0.7695	3.2298	2.4404	33.9155	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in North Carolina	NCCOM	0.0030	1.5547	0.1719	9.8366	2.7892	1.9219	179.9756	145.5527	0.9125	0.0411	124.0253	210.9738	0.5091	557.1309	3.7883	112.4684	0.8913	22.4847	70.3825	1.6397	361.7449	260.9486	5.1422	10.6462	47.6703	55.3284	68.2903	46.2575	11.2837	2.8741	21.7490	3.7870	31.7775	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in North Dakota	NDCOM	0.0000	0.0000	0.0000	106.4681	0.8163	144.5737	60.3629	40.6328	0.5841	0.0000	51.2292	74.6171	0.0000	300.4508	10.2366	41.3422	0.0343	15.5286	14.2108	4.1172	123.0815	87.6065	12.0602	2.2433	3.8052	19.6848	81.7695	8.9907	26.0014	4.9762	4.8672	3.3552	12.2007	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Ohio	OHCOM	0.0049	0.3504	0.0000	31.1582	1.0262	6.7980	231.6229	69.7081	0.7070	0.3513	199.2319	107.7243	0.3051	464.7359	16.5754	57.9291	0.6978	18.7363	21.8471	0.3774	186.0637	135.5803	3.0052	3.4981	23.9757	29.9761	57.9483	13.3278	29.0144	3.1342	7.4530	3.4369	17.3617	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Oklahoma	OKCOM	0.0432	0.0000	0.0000	46.1070	1.5868	43.1603	119.8228	58.4033	0.0293	0.0000	112.6289	117.2165	0.0000	367.6075	13.9316	64.3340	0.3539	7.5107	34.4135	1.2161	183.6847	132.6799	2.0093	5.6763	2.1723	31.4205	87.4393	19.6205	32.8001	2.3964	13.2804	3.2681	19.8016	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Oregon	ORCOM	0.0000	0.0000	0.0000	32.6756	2.1013	24.4405	87.1860	119.9298	0.2234	0.0000	67.3654	227.9415	0.0000	466.1797	1.6189	136.2205	1.5532	40.9351	49.2326	1.1363	347.8713	256.1503	9.0911	8.2385	15.9402	58.8238	84.6796	29.6088	6.0020	6.2179	19.6237	3.8803	38.3121	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Pennsylvania	PACOM	0.0046	0.0000	0.1011	16.4365	1.8947	2.4854	249.8033	93.9423	0.0909	0.0000	198.3087	168.6389	0.0000	552.7878	6.2364	103.4509	0.8001	26.3206	29.3787	0.4737	268.1237	201.2650	1.8556	4.0182	32.7775	37.7875	74.1123	18.6901	18.6815	19.7204	7.3174	11.2646	23.4894	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Puerto Rico	PRCOM	0.0000	8.1143	6.4096	1.2947	7.0277	0.1889	158.7339	44.4158	14.1104	13.5101	156.3086	58.9445	0.0905	265.3826	41.8414	51.5169	1.2521	3.3736	2.8017	8.2470	103.3604	95.9328	1.8374	0.6489	0.5197	25.1784	38.9644	2.6197	78.5269	10.3282	0.1820	1.9055	14.3035	
