Reporting Period	Peer Group Description	Peer Group	UBPSE015	UBPSE008	UBPSE029	UBPS7414	UBPSE023	UBPSD486	UBPSE012	UBPSE018	UBPSE024	UBPSE013	UBPSE019	UBPSE541	UBPSE027	UBPS7408	UBPSE010	UBPSK447	UBPSE007	UBPSE016	UBPSE021	UBPSE542	UBPSE003	UBPSE006	UBPSE022	UBPSE028	UBPSE011	UBPS7316	UBPSE002	UBPSE014	UBPSJ248	UBPSE005	UBPSE020	UBPSE017	UBPS7402	UBPSE004	UBPSE025	UBPSJA35	UBPSE009	UBPSE001	UBPSE026	
3/31/2018 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	36.4319	0.0000	9.2997	0.3879	2.4859	12.1332	1.0784	2.3149	37.3645	1.0784	0.0000	0.0629	21.0990	25.0127	1.1308	-24.7018	1.3932	3.0095	0.0000	0.3249	2.0881	0.0000	2.4859	38.9015	1.1308	32.1446	0.6265	90.2034	0.0524	3.2526	0.0000	0.6946	0.0000	2.5577	8.8748	0.0000	1.3932	2.7147	1.9862	
3/31/2018 11:59:59 PM	All Bankers Banks in Texas	TXBKR	69.8074	0.0000	-36.0297	0.2883	1.2966	9.9559	0.7064	1.8082	40.3707	0.7064	0.2257	0.0182	1.7804	3.3032	0.7064	-33.9569	0.8973	3.0470	5.7491	0.2701	1.7162	0.0903	1.3074	-23.0903	0.7064	-9.3706	1.1757	94.9101	0.0000	4.7409	10.1649	1.2388	67.3249	4.0124	2.2792	0.0000	0.8973	2.8919	1.0206	
3/31/2018 11:59:59 PM	All Bankers Banks in Virginia	VABKR	47.7655	0.0000	-0.8561	0.7585	2.2872	12.2118	0.0279	2.4272	50.5996	0.0279	-0.2860	0.0000	-1.7382	-2.5249	0.0279	-15.5656	-0.0223	3.1818	0.0000	0.7585	2.2858	-0.1566	2.2872	150.1020	0.0279	16.8862	0.7106	94.1758	0.0000	3.9702	0.0000	0.7546	0.0000	1.5052	0.2309	0.0000	-0.0223	2.9965	3.0492	
3/31/2018 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	48.7647	0.0000	34.8493	0.4565	1.9677	10.6218	0.9236	2.1241	46.8709	0.9236	-0.0039	0.4565	57.6825	7.0766	0.9236	6.9290	1.2258	2.8316	0.0000	0.0000	2.0273	0.0299	2.0070	17.6698	0.9553	27.1543	0.6752	95.4430	0.0000	3.5490	0.0000	0.7074	0.0000	2.7774	8.9344	0.0000	1.2258	2.7025	2.5513	
3/31/2018 11:59:59 PM	All banks in nation 	NATIONAL	71.9847	0.0003	23.9059	0.7793	1.2569	11.2217	0.9744	3.7113	65.0493	1.0462	0.0444	0.0707	6.5464	5.8169	1.0464	0.6842	1.2477	4.2361	36.4816	0.6422	3.4881	0.0748	1.2629	14.8666	1.0964	4.0652	0.4819	94.3231	0.0002	2.8419	61.2448	0.5116	26.2307	0.6023	5.6202	-0.0007	1.2517	3.9818	7.1190	
3/31/2018 11:59:59 PM	All credit card specialty banks	CRC	79.7665	-0.0009	11.6418	2.1019	5.6707	14.4510	2.7095	12.8571	77.5376	2.7095	5.2534	1.6518	15.6561	12.6815	2.7096	54.0414	3.5798	14.5182	1.0535	0.4500	12.5956	4.5444	5.7713	29.2067	2.8638	14.4430	1.6135	97.5747	0.0000	7.5237	1.9951	1.6611	29.5350	3.0537	12.4409	-0.0020	3.5788	14.2092	8.0957	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	79.6412	0.0000	-3.9543	1.7698	4.3407	13.1321	2.5462	11.8641	76.0086	2.5462	4.3123	1.6499	8.2134	12.9312	2.5462	55.2513	3.3006	13.4929	1.0111	0.1199	11.2636	3.4615	4.4221	27.9399	2.5757	10.6985	1.5466	94.8165	0.0000	5.5052	2.0066	1.6288	60.8554	1.0033	5.7116	0.0008	3.3006	12.8103	8.9726	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	76.2318	0.0000	-3.5877	1.2656	2.9584	14.5677	0.7083	7.0459	88.6792	0.7083	2.8396	1.2648	-1.2245	2.8386	0.7083	25.6062	0.9645	8.3876	1.0108	0.0007	6.8120	2.4390	2.9584	-43.5407	0.7551	-4.1892	1.2971	96.6792	0.0000	10.2463	1.4227	1.3416	0.0000	6.8378	4.6653	0.0000	0.9645	8.1091	0.6094	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	74.7372	0.0000	74.1585	2.8620	5.4319	22.3967	1.1772	17.3487	72.5337	1.1772	4.7396	1.9430	-3.3106	7.9560	1.1772	58.1149	1.6982	19.7071	1.1145	0.9189	15.9352	2.8484	5.4319	-15.6477	0.3708	-2.8731	2.1662	91.8525	0.0000	14.0663	1.2440	2.3583	0.0000	2.6777	5.2906	0.0000	1.6982	18.1015	9.7697	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	81.7824	-0.0061	32.6687	2.5232	7.7576	14.0503	3.8352	14.5464	77.7197	3.8352	6.9249	1.6415	33.2509	12.0215	3.8352	53.6208	5.1217	16.0173	1.0923	0.8817	14.9156	6.5748	7.9531	67.8731	4.3465	28.8435	1.4958	102.0485	0.0000	7.5203	2.3687	1.4708	20.3660	4.3042	21.5108	-0.0040	5.1156	16.4115	9.8095	
3/31/2018 11:59:59 PM	All Credit Card Specialty Banks in Virginia	VACRC	80.7685	0.0144	-57.3681	1.8210	5.5938	13.2673	2.3938	11.3913	76.7877	2.3938	5.2592	1.7965	10.8956	28.8913	2.3940	75.2455	3.0253	13.5650	1.0489	0.0245	11.0872	4.5563	5.5938	-2.7890	2.6876	7.7680	2.1156	97.3306	0.0001	6.3461	1.7785	2.1736	0.0000	2.8448	18.0045	-0.0042	3.0398	13.2028	3.5451	
3/31/2018 11:59:59 PM	All insured commercial banks	COM	71.4073	0.0002	22.8440	0.7703	1.2955	10.9329	1.0112	3.7736	64.8014	1.0899	0.0442	0.0734	6.6368	5.9480	1.0904	0.3082	1.2970	4.2832	36.3254	0.6318	3.5476	0.0783	1.3009	16.4853	1.1450	4.1611	0.4669	94.3286	0.0004	2.8078	62.1783	0.4959	29.8776	0.5904	5.7582	-0.0007	1.2984	4.0275	7.1870	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alabama	ALCOM	70.5171	0.0019	11.3744	1.0044	1.3160	12.0414	0.9684	3.9145	57.0051	1.0111	0.1068	0.0790	6.8852	4.6006	1.0117	2.2544	1.2471	4.4227	19.9808	0.8173	3.6039	0.0982	1.3168	8.6154	1.0426	2.2862	0.4647	92.4394	0.0005	2.9410	32.9407	0.5019	22.9955	0.6523	5.7756	0.0015	1.2504	4.0753	9.3216	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Alaska	AKCOM	83.4551	0.0937	17.0441	0.7147	1.4917	11.1587	1.0304	4.0835	54.4140	1.0528	0.2027	0.0194	7.6206	1.3494	1.0528	0.0502	1.2395	4.2789	4.3228	0.6953	3.8450	0.1355	1.5249	24.3221	1.0562	2.2463	0.1847	94.3165	0.0000	3.6191	4.7145	0.1953	51.7186	1.1492	4.6298	0.0000	1.3333	4.0298	8.7305	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arizona	AZCOM	64.3398	0.0589	13.0524	0.8026	1.3385	10.9035	0.4065	4.2880	65.0661	0.4065	0.0247	0.0259	7.3201	15.4912	0.4065	-9.3977	0.6187	4.6778	22.1065	0.7766	4.0066	0.0623	1.3535	29.6885	0.4462	8.3132	0.3642	93.3813	0.0000	5.5496	-8.5005	0.3897	24.8569	2.2259	-0.8436	-0.0139	0.6776	4.3709	9.0080	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Arkansas	ARCOM	74.0037	0.0026	12.9844	0.9843	1.3830	11.4168	0.9963	3.8606	63.9339	1.0789	0.0841	0.0397	8.0133	6.2087	1.0789	5.8852	1.2886	4.4591	35.9275	0.9138	3.5888	0.1045	1.4124	17.5239	1.1530	4.6517	0.5461	93.2747	0.0000	2.9392	46.1717	0.5845	27.9361	0.7547	5.5925	0.0026	1.2851	4.1425	9.6877	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in California	CACOM	67.7830	0.0009	26.8250	0.2687	1.3795	11.9758	1.1186	3.9241	70.8068	1.1410	0.0229	0.0064	10.4771	10.1266	1.1411	2.7272	1.4904	4.3919	34.1054	0.2510	3.7294	0.0699	1.3921	6.8495	1.1773	7.9465	0.4363	95.2920	0.0000	2.7570	68.0948	0.4559	11.5796	0.4527	7.3687	-0.0005	1.4967	4.1755	2.9333	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Colorado	COCOM	68.0655	0.0004	28.5275	0.7483	1.3859	10.5340	1.1045	4.0262	64.1403	1.2026	0.0089	0.0367	11.1962	9.2542	1.2025	-3.7276	1.4277	4.4224	46.5761	0.5907	3.7958	0.0965	1.3885	32.5176	1.2903	6.8634	0.3650	94.3926	0.0000	3.1207	87.9809	0.3864	28.1019	0.6854	6.3145	-0.0004	1.4250	4.1706	7.5804	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Connecticut	CTCOM	76.7379	0.0042	48.0778	0.9728	0.9666	9.7782	0.6152	3.2348	75.8369	0.6236	0.0085	0.1959	6.6801	6.9943	0.6236	16.4620	0.8573	3.9565	61.8878	0.7768	3.0848	0.0783	0.9978	11.0146	0.6922	4.9666	0.6855	95.3103	0.0000	2.9385	69.9606	0.7216	21.4150	0.7898	4.2117	-0.0011	0.8616	3.7704	10.3692	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Delaware	DECOM	47.1471	0.0027	28.6304	1.6957	1.3931	30.5772	1.4730	3.1878	54.7677	1.4904	0.4423	0.1941	3.2011	6.1726	1.4917	-10.2225	1.9072	3.6089	7.5503	1.5015	2.7999	0.1941	1.4046	1.3310	1.5125	1.2724	0.3998	86.6096	0.0020	3.0418	56.8518	0.4210	16.1638	2.3434	6.2265	-0.0001	1.9100	3.1997	8.9363	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in District of Columbia	DCCOM	69.9697	0.0000	23.4922	2.6567	1.3756	9.6543	0.3335	3.3411	58.7946	0.3335	-0.0428	0.8991	10.3776	2.6441	0.3921	12.4256	0.4857	3.6779	19.3109	1.7576	3.1670	0.0534	1.3765	18.5581	0.4707	11.2346	0.3213	95.1034	0.0586	3.4393	14.9756	0.3367	40.9644	0.8114	3.0504	0.0000	0.4857	3.4884	18.8036	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Florida	FLCOM	71.2872	0.0001	35.5399	0.6018	1.2611	10.3278	0.8123	3.6283	67.0144	0.8589	0.0068	0.0133	10.3708	7.0222	0.8589	2.9948	1.0484	4.1741	95.0880	0.5669	3.4138	0.0493	1.2665	7.0230	0.9028	6.3606	0.5030	94.5460	0.0000	2.9347	174.7497	0.5347	15.5212	0.5677	5.8786	-0.0024	1.0452	3.9226	8.7291	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Georgia	GACOM	69.2842	0.0000	32.9164	1.0264	1.4534	10.8524	1.0350	4.1643	63.1769	1.1162	0.0338	0.0461	7.9763	7.8285	1.1162	-4.3756	1.3177	4.6463	27.5627	0.9266	3.8722	0.0822	1.4599	10.4185	1.1835	4.4212	0.4270	93.2439	0.0000	3.1768	47.0746	0.4598	30.8830	0.7311	6.1587	0.0000	1.3241	4.3202	15.3551	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Guam	GUCOM	65.0127	-0.0050	184.1822	3.6591	2.3115	10.6789	0.6133	3.8260	46.2206	0.6133	0.1308	0.1321	-2.9051	2.9919	0.6133	-82.9354	0.7689	3.9211	2.3008	3.5270	3.6642	0.2777	2.3115	-20.3880	0.7556	2.8287	0.0910	95.7758	0.0000	4.1548	3.6967	0.0951	14.2718	1.5372	5.5701	0.0000	0.7638	3.7553	11.3206	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Hawaii	HICOM	82.3869	-0.0034	6.6227	0.1221	1.2051	9.7569	0.8853	3.3831	67.5097	0.8853	0.0385	0.0246	6.9946	5.1251	0.8852	9.5948	1.1603	3.7901	59.2357	0.0974	3.1713	0.0424	1.2068	-24.9113	0.9051	2.9753	0.3804	93.7922	0.0000	2.5684	476.7786	0.4069	38.9252	0.5999	4.3200	0.0000	1.1569	3.5517	2.7141	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Idaho	IDCOM	68.2084	-0.0001	10.4014	0.6301	1.4495	10.6942	0.9500	4.1369	63.0579	0.9842	0.1057	0.0036	12.2782	7.4551	0.9842	-17.1657	1.2602	4.3964	5.9007	0.6264	3.9459	0.1021	1.4606	12.7260	1.0191	10.1024	0.2481	95.4192	0.0000	3.5001	13.3088	0.2595	27.1232	0.9166	6.0720	0.0000	1.2600	4.1940	6.7748	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Illinois	ILCOM	72.8530	0.0000	24.1144	0.9421	1.1640	10.9230	0.9097	3.5425	62.7166	0.9803	0.0519	0.1008	5.3194	4.8065	0.9804	-1.4700	1.1887	4.0253	29.8816	0.7484	3.3239	0.0751	1.1678	18.9390	1.0253	2.8208	0.4456	94.3066	0.0001	2.6113	50.4973	0.4730	31.7670	0.5218	5.0853	-0.0011	1.1911	3.7807	8.4557	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Indiana	INCOM	73.5308	0.0014	19.2969	0.7125	1.3470	10.6836	1.0528	3.7373	67.4527	1.0933	0.0393	0.0478	7.9425	5.9041	1.0965	4.1433	1.3323	4.2355	41.7903	0.6342	3.5221	0.0839	1.3492	19.1011	1.1640	5.6163	0.4782	94.4718	0.0029	2.7905	59.7281	0.5068	23.4782	0.6611	6.9374	-0.0004	1.3387	3.9925	6.9465	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Iowa	IACOM	73.7924	-0.0010	37.8784	0.5942	1.2858	11.2562	1.0734	3.5140	65.1666	1.1722	0.0193	0.1184	5.1682	4.9305	1.1720	2.3778	1.3848	4.1358	61.4925	0.4029	3.3347	0.0746	1.2869	19.8550	1.2432	2.2245	0.5738	95.0168	0.0000	2.3227	96.5698	0.6047	34.5659	0.4490	5.6566	-0.0028	1.3845	3.9245	4.3530	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kansas	KSCOM	71.5736	-0.0001	25.4636	0.8152	1.5373	11.1208	0.9773	3.6394	60.0384	1.0670	0.0306	0.1293	4.8944	4.7216	1.0669	-1.6189	1.2439	4.1450	49.5780	0.6101	3.4585	0.0610	1.5420	24.8421	1.1139	2.8103	0.4684	95.1579	0.0000	2.6937	71.3888	0.4925	35.8581	0.4910	5.2101	0.0000	1.2441	3.9397	6.5917	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Kentucky	KYCOM	70.6568	-0.0011	14.3512	1.0456	1.2735	11.4813	0.9787	3.8457	64.9978	1.0575	0.0451	0.1007	5.4611	3.8089	1.0575	3.8090	1.2418	4.3609	24.5761	0.8763	3.6250	0.0654	1.2760	16.9294	1.0962	1.8198	0.4879	94.4809	0.0000	3.0925	41.7641	0.5189	36.0956	0.7107	4.7472	-0.0001	1.2408	4.1122	8.9508	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Louisiana	LACOM	68.4375	0.0014	15.6103	1.5546	1.2169	10.9549	0.9845	4.0963	65.4782	1.0961	0.1084	0.2562	7.0441	5.7690	1.0961	0.4621	1.2212	4.5857	31.6262	1.0538	3.8455	0.1234	1.2184	22.8629	1.1509	4.1271	0.4509	94.2480	0.0000	3.0774	63.9944	0.4795	24.6197	0.6133	6.5098	-0.0023	1.2262	4.3033	9.7807	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Maine	MECOM	78.9634	0.0000	34.0798	1.1558	0.7926	11.9749	1.1082	3.7051	72.9087	1.1082	0.0388	0.0506	6.1178	6.2370	1.1082	17.5774	1.4588	4.4040	58.5079	1.1051	3.4887	0.0556	0.7936	74.3334	1.1383	5.4126	0.6545	93.8703	0.0000	2.6187	115.6549	0.6988	52.7698	0.6445	5.1586	0.0000	1.4588	4.1432	10.1503	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Maryland	MDCOM	74.2730	-0.0002	21.0752	1.0635	1.0242	10.3159	0.7849	3.7603	76.2749	0.7902	0.0551	0.0236	10.6496	12.4452	0.7902	9.7501	1.1240	4.3191	27.4435	1.0294	3.5480	0.1003	1.0294	40.2849	0.8227	8.5413	0.5521	94.2829	0.0000	3.0261	58.2280	0.5829	8.0268	0.6240	6.1965	-0.0008	1.1338	4.0761	13.3853	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Massachusetts	MACOM	78.0097	0.0034	19.0297	0.4196	0.8586	10.4077	0.7183	3.3568	74.7089	0.7183	0.0059	0.0321	8.0737	8.0445	0.7202	13.0097	0.9404	3.9442	190.0350	0.3767	3.1491	0.0472	0.8646	15.6608	0.7677	5.6821	0.5408	95.0460	0.0016	2.7665	325.7258	0.5684	11.0403	0.5379	5.5913	-0.0047	0.9537	3.7133	4.8335	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Michigan	MICOM	71.9945	-0.0027	24.7261	0.7642	1.1474	10.4199	0.9183	3.8261	66.8028	0.9393	0.0083	0.0420	7.7047	7.5491	0.9482	-0.1440	1.1493	4.2221	40.9747	0.6976	3.5869	0.0591	1.1558	8.5436	1.0201	4.7572	0.3547	93.7659	0.0118	3.2597	52.2376	0.3786	30.8432	0.7842	5.6502	-0.0022	1.1483	3.9553	13.0404	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Micronesia	FMCOM	60.2885	0.0000	-1.2326	1.4773	3.3896	15.1104	1.2566	4.2635	29.3250	1.2566	0.2852	0.0000	-11.2133	5.4467	1.2566	-77.7795	1.2776	4.4280	11.7500	1.4773	4.0114	0.1574	3.3896	5.4849	1.3275	0.9577	0.1547	94.0865	0.0000	2.9724	16.5757	0.1645	0.0000	0.3961	8.5446	0.0000	1.2776	4.1662	10.6112	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Minnesota	MNCOM	70.5664	0.0001	35.6112	0.8444	1.3301	10.6603	0.9912	3.8392	66.4722	1.1550	0.0173	0.1321	5.2050	4.9343	1.1550	-5.7378	1.2726	4.2931	67.9526	0.6322	3.6297	0.0771	1.3325	8.9037	1.2390	2.9015	0.4171	94.8378	0.0000	2.7726	107.9868	0.4396	60.6904	0.4647	2.9508	0.0001	1.2784	4.0594	9.2026	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Mississippi	MSCOM	72.5633	-0.0007	24.3374	1.0482	1.1839	10.7650	0.9788	3.8781	60.7647	1.0489	0.0925	0.1340	6.6746	4.5492	1.0489	2.1278	1.2508	4.3738	20.0310	0.7307	3.5472	0.0762	1.1857	-1.5354	1.0598	2.5171	0.4570	91.8081	0.0000	3.1002	35.8731	0.4973	27.0780	0.8594	6.1303	0.0000	1.2480	4.0010	8.6462	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Missouri	MOCOM	73.6039	-0.0008	15.6142	0.6786	1.3165	10.6630	1.0361	3.7186	67.2242	1.1431	0.0432	0.0387	5.6578	5.4918	1.1431	-1.5535	1.3372	4.2462	44.1800	0.5810	3.5010	0.0727	1.3199	23.1902	1.1975	3.5438	0.4771	94.3886	0.0000	2.7838	76.2213	0.5067	42.8609	0.6376	4.8699	0.0000	1.3291	3.9967	7.5694	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Montana	MTCOM	68.8124	0.0000	8.1480	1.2612	1.5373	10.9700	1.1032	4.1678	64.1785	1.1982	-0.0238	0.2678	7.0487	6.8987	1.1982	-5.1926	1.4554	4.5492	146.2488	0.8569	3.8828	0.0840	1.5407	-6.7541	1.3561	4.9565	0.3507	93.6094	0.0000	2.9778	257.5933	0.3740	63.9327	0.5737	3.2890	0.0000	1.4525	4.2404	8.7493	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Nebraska	NECOM	73.5286	0.0009	22.3370	0.5520	1.4817	11.3884	1.0752	3.7204	67.8253	1.1698	0.0168	0.1133	4.7803	5.7877	1.1698	1.7635	1.3603	4.3497	34.6886	0.3854	3.5199	0.0869	1.4836	25.1673	1.2579	3.2120	0.5915	94.6213	0.0000	2.5105	50.2291	0.6254	35.7055	0.4443	5.3990	-0.0001	1.3623	4.1158	3.4561	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in Nevada	NVCOM	48.2520	-0.0015	178.4402	1.8818	2.0475	18.8613	6.0241	4.1864	52.6562	6.9864	0.1073	0.1068	4.9891	7.1485	6.9864	-28.8845	7.7403	4.6535	13.5038	1.7749	3.9025	0.1108	2.2185	17.9538	7.0520	10.6497	0.4406	93.2042	0.0000	19.4096	319.0615	0.4670	41.1247	23.3583	7.9798	0.0000	7.7387	4.3431	10.7992	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New Hampshire	NHCOM	77.2230	0.0011	252.5374	0.3089	0.9802	11.2935	0.6986	3.4615	77.1894	0.6986	0.0092	0.0077	13.5093	5.6124	0.6986	11.2038	0.9005	4.1096	589.3608	0.3012	3.3318	0.0638	0.9807	0.3671	0.7551	10.4344	0.6300	96.2179	0.0000	2.7469	1445.4507	0.6480	17.1337	0.3640	5.6673	0.0216	0.9016	3.9619	5.9366	
3/31/2018 11:59:59 PM	All Insured Commercial Banks in New Jersey	NJCOM	75.9112	0.0000	37.3431	1.0557	1.2203	10.1570	0.8580	3.5159	74.5565	0.8778	0.0631	0.0178	13.0653	13.1187	0.8778	5.0459	1.1183	4.1896	25.1729	1.0233	3.3555	0.1132	1.2600	6.8299	0.9476	8.7313	0.6559	95.7842	0.0000	2.7994	27.8845	0.6848	15.8228	0.6258	6.6341	-0.0110	1.1183	4.0019	12.5370	
